LotFrontage,LotArea,LotShape,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,SalePrice
141,31770,1,6,1960,1960,112,2,85,4,4,4,639,441,1080,1,1,1656,0,1656,1,1,0,2,7,2,4,3,2,528,3,3,1,210,62,215000
44,5306,1,7,1987,1987,0,3,95,4,1,6,495,354,1064,3,1,1064,703,1767,1,2,0,3,5,1,3,2,2,504,4,3,2,441,35,239000
80,10197,1,6,1961,1961,491,2,85,3,1,5,288,700,1362,2,1,1362,0,1362,1,1,1,2,6,1,3,1,2,504,3,3,2,0,20,163000
47,12416,1,6,1986,1986,132,2,95,2,1,5,1398,0,1606,2,1,1651,0,1651,1,2,0,2,7,1,3,3,2,616,3,3,2,192,0,184000
84,12615,0,6,1950,2001,0,2,85,4,3,5,477,725,1202,2,1,2158,0,2158,1,2,0,3,7,1,4,1,2,576,3,3,2,0,29,243000
97,10029,1,6,1988,1989,268,3,95,3,1,6,831,320,1151,2,1,1164,896,2060,0,2,1,2,8,1,3,1,2,521,3,3,2,0,228,211000
0,13650,0,5,1958,1958,0,3,85,3,1,5,57,554,1052,4,1,1252,668,1920,1,2,0,3,8,1,4,1,2,451,3,3,2,0,0,172500
63,17423,1,9,2008,2009,748,4,105,3,1,6,1904,312,2216,4,1,2234,0,2234,1,2,0,4,9,1,4,3,3,1166,3,3,2,0,60,501837
60,8520,0,5,1923,2006,0,3,85,3,1,1,0,968,968,2,1,968,0,968,0,1,0,2,5,0,0,1,2,480,2,3,0,0,0,100000
0,2117,0,6,2000,2000,456,3,95,3,1,6,436,320,756,4,1,769,756,1525,0,2,1,3,5,1,3,1,2,440,3,3,2,0,0,177000
54,7588,0,7,1920,1950,0,2,75,3,1,2,352,441,793,3,1,901,901,1802,0,1,1,2,9,1,4,1,1,216,2,3,2,0,0,200100
60,9060,0,5,1957,2006,98,2,0,0,0,0,0,0,0,4,1,1340,0,1340,0,1,0,2,7,1,4,2,1,252,3,3,2,116,0,120000
63,11426,0,7,2003,2003,0,2,95,3,1,1,0,1362,1362,4,1,1362,720,2082,0,2,1,3,6,0,0,1,2,484,3,3,0,280,238,200000
92,7438,1,5,1908,1991,0,2,75,3,1,1,0,504,504,3,1,936,316,1252,0,1,0,2,5,0,0,1,2,576,3,3,2,104,0,127000
90,22950,2,10,1892,1993,0,3,85,3,2,1,0,1107,1107,4,1,1518,1518,3608,0,2,1,4,12,2,3,1,3,840,5,3,2,0,260,475000
0,9947,1,7,1990,1991,0,2,95,3,3,6,611,577,1188,4,1,1217,0,1217,1,2,0,3,6,0,0,1,2,497,3,3,2,168,27,173000
60,10410,0,5,1916,1987,0,2,75,3,1,1,0,660,660,4,1,808,704,1656,0,2,1,2,8,0,0,1,1,180,2,2,0,0,0,135000
64,7018,0,5,1979,1979,275,2,95,3,3,6,1086,0,1086,2,1,1224,0,1224,2,0,2,2,6,2,3,1,2,528,3,3,2,120,0,153337
41,4923,0,8,2001,2002,0,3,105,3,3,6,1153,440,1593,4,1,1593,0,1593,1,1,1,4,5,1,4,3,2,682,3,3,2,0,120,286000
70,10570,0,8,1932,1994,0,3,95,4,1,3,297,556,853,2,1,1549,1178,2727,0,2,1,3,10,2,3,1,2,440,3,3,2,0,74,315000
0,7472,1,7,1972,2004,138,2,85,3,1,5,626,99,725,3,1,725,754,1479,1,1,1,3,7,0,0,3,2,484,3,3,2,0,32,184000
68,9017,1,7,1999,1999,0,3,95,3,3,6,560,871,1431,4,1,1431,0,1431,1,2,0,3,6,0,0,3,2,666,3,3,2,0,35,192000
24,2522,0,7,2004,2004,50,3,95,3,1,1,0,970,970,4,1,970,739,1709,0,2,0,3,7,0,0,1,2,380,3,3,2,0,40,130000
60,7180,1,5,1972,1972,0,2,85,3,3,5,390,474,864,2,1,864,0,864,0,1,0,2,5,0,0,1,1,352,3,3,2,0,0,127000
24,2280,0,6,1976,1976,0,2,95,3,1,5,566,289,855,2,1,855,601,1456,0,2,1,2,7,1,3,1,2,440,3,3,2,87,0,148500
79,9416,0,7,2007,2007,205,4,105,3,1,6,1126,600,1726,4,1,1726,0,1726,1,2,0,4,8,1,4,3,3,786,3,3,2,171,138,311872
174,25419,0,8,1918,1990,0,3,85,3,1,6,1036,140,1360,3,1,1360,1360,3112,1,2,0,3,8,1,5,1,2,795,3,3,2,0,16,235000
92,5520,0,6,1912,1950,0,2,85,3,1,1,0,755,755,4,1,929,929,2229,0,1,0,2,8,0,0,0,0,0,0,0,2,0,198,104000
76,9591,0,8,2004,2005,262,3,105,3,3,6,1088,625,1713,4,1,1713,0,1713,1,2,0,4,7,1,4,3,3,856,3,3,2,0,26,274900
80,8546,0,4,2003,2004,0,2,95,3,1,1,0,1121,1121,4,1,1121,0,1121,0,2,0,2,5,0,0,2,2,440,3,3,2,132,64,140000
75,10125,0,6,1977,1977,0,2,85,3,1,5,641,276,1196,2,1,1279,0,1279,0,2,0,2,6,2,2,1,2,473,3,3,2,238,83,171500
50,7000,0,6,1924,1950,0,2,75,3,1,2,617,0,617,3,1,865,445,1310,0,2,0,2,6,0,0,1,1,398,3,3,2,0,0,112000
0,4438,0,6,2004,2004,205,3,95,3,3,6,662,186,848,4,1,848,0,848,1,1,0,3,3,1,4,2,2,420,3,3,2,149,0,149000
50,3500,0,5,1947,1950,0,2,85,3,1,2,312,408,720,2,1,720,564,1284,0,1,1,2,5,0,0,1,1,240,3,3,2,0,35,110000
99,11851,0,7,1990,1990,0,2,95,3,1,1,0,1424,1424,4,1,1442,0,1442,0,2,0,2,5,0,0,2,2,500,3,3,2,0,34,180500
40,13673,1,5,1962,1962,0,2,85,3,1,1,0,1140,1140,2,1,1696,0,1696,0,1,1,2,8,1,3,2,1,349,3,3,2,0,30,143900
0,12493,1,4,1960,1960,0,2,85,3,1,5,419,375,1100,2,1,1100,0,1100,1,1,0,2,6,1,1,2,1,312,3,3,2,355,0,141000
0,14364,1,7,1988,1989,128,3,95,3,4,6,1065,92,1157,4,1,1180,882,2062,1,2,1,2,7,1,4,3,2,454,3,3,2,60,55,277000
75,8250,0,6,1964,1964,260,2,95,3,1,3,787,305,1092,4,1,1092,0,1092,1,1,0,2,6,0,0,2,2,504,3,4,2,0,0,145000
67,5604,0,5,1925,1950,0,2,85,3,1,3,468,396,864,2,0,864,0,864,1,1,0,2,5,0,0,0,0,0,0,0,2,0,0,98000
83,10420,0,6,2009,2009,0,2,95,3,2,6,36,1176,1212,4,1,1212,0,1212,0,2,0,3,6,0,0,2,2,460,3,3,2,100,22,186000
72,8640,0,7,2009,2009,0,2,95,3,1,6,822,78,900,4,1,932,920,1852,1,2,1,3,7,1,3,2,2,644,3,3,2,168,108,252678
43,13568,2,5,1995,1995,0,2,95,3,1,5,716,274,990,4,1,990,0,990,0,1,0,2,5,0,0,1,2,576,3,3,2,224,0,156000
0,10900,1,6,1977,1977,153,2,95,3,1,6,378,311,689,4,1,689,703,1392,0,1,1,2,6,0,0,3,1,299,3,3,2,0,36,161750
72,10011,1,5,1957,1996,64,2,85,3,1,4,360,710,1070,2,1,1236,0,1236,0,1,0,3,6,1,2,1,1,447,3,3,2,0,0,134450
65,8450,0,7,2004,2004,266,3,95,3,2,6,946,490,1436,4,1,1436,0,1436,1,2,0,3,8,0,0,1,2,484,3,3,2,139,98,210000
57,9906,0,4,1925,1950,0,2,85,3,1,1,0,686,686,1,0,810,518,1328,0,1,0,2,8,0,0,1,1,210,3,3,2,0,172,107000
0,15660,1,7,1939,2006,312,3,85,3,1,4,341,457,798,4,1,1137,817,1954,0,1,1,3,8,2,3,1,2,431,3,3,2,0,119,311500
43,3010,0,7,2005,2006,16,3,95,3,3,6,16,1232,1248,4,1,1248,0,1248,0,2,0,3,5,0,0,3,2,438,3,3,2,108,0,167240
73,8990,1,7,2006,2006,0,3,95,3,2,1,0,1498,1498,4,1,1498,0,1498,0,2,0,3,5,0,0,2,2,675,3,3,2,351,33,204900
0,8068,1,6,2002,2002,0,3,95,3,1,1,0,1010,1010,4,1,1010,1257,2267,0,2,1,3,8,1,3,2,2,390,3,3,2,120,46,200000
85,11475,0,6,1975,1975,0,2,95,3,1,5,550,163,713,2,1,811,741,1552,1,2,1,2,6,1,3,2,2,434,3,3,2,209,208,179900
70,10500,0,4,1971,1971,0,2,85,3,1,5,524,160,864,3,1,864,0,864,0,1,0,2,4,0,0,1,2,576,3,3,2,216,0,97000
103,13472,0,10,2003,2003,922,4,105,3,4,6,56,2336,2392,4,1,2392,0,2392,0,2,0,4,8,1,5,3,3,968,3,3,2,248,105,386250
21,1680,0,5,1971,1971,142,2,85,3,1,1,0,630,630,2,1,630,672,1302,0,2,1,2,6,0,0,1,1,280,3,3,2,0,0,112000
82,9950,1,7,1995,1995,290,3,95,3,1,6,565,638,1203,4,1,1214,1306,2520,0,2,1,3,9,1,3,2,3,721,3,3,2,224,114,290000
21,1869,0,6,1970,1970,127,2,85,3,1,3,321,162,483,2,1,483,504,987,0,1,1,2,5,0,0,1,1,280,3,3,2,0,0,106000
70,8521,0,5,1967,1967,0,2,85,3,1,5,842,70,912,2,1,912,0,912,0,1,0,2,5,1,2,1,1,336,3,3,2,0,0,125000
43,3182,0,7,2005,2006,16,3,95,3,3,6,16,1357,1373,4,1,1555,0,1555,0,2,0,3,7,1,3,3,2,430,3,3,2,143,20,192500
73,8760,0,6,1959,1959,220,2,85,3,1,1,0,1194,1194,2,1,1194,0,1194,1,1,0,2,6,0,0,2,1,312,3,3,2,0,0,148000
174,15138,1,8,1995,1996,506,3,95,3,1,6,689,773,1462,4,1,1490,1304,2794,1,2,1,4,9,1,3,3,3,810,3,3,2,0,146,403000
21,1680,0,6,1972,1972,297,2,85,3,1,1,0,483,483,2,1,483,504,987,0,1,1,2,5,1,1,1,1,288,3,3,2,0,0,94500
75,10650,0,5,1976,1976,0,2,85,4,3,2,182,0,894,2,1,894,0,894,1,1,0,2,5,0,0,1,1,308,3,3,2,365,0,128200
0,7851,0,6,2002,2002,0,3,95,3,1,6,625,235,860,4,1,860,1100,1960,1,2,1,3,8,2,3,3,2,440,3,3,2,288,48,216500
21,1680,0,6,1971,1971,604,2,85,3,1,5,358,125,483,2,1,483,504,987,0,1,1,2,5,0,0,1,1,264,3,3,2,0,0,89500
65,8773,0,7,2004,2004,98,3,95,3,3,6,24,1390,1414,4,1,1414,0,1414,0,2,0,3,6,0,0,2,2,494,3,3,2,132,105,185500
0,9453,1,7,1993,2003,0,3,95,3,1,4,402,594,996,4,1,1014,730,1744,0,2,1,3,7,0,0,2,2,457,3,3,2,370,70,194500
93,12030,0,8,2007,2007,254,4,105,3,1,1,0,1694,1694,4,1,1694,0,1694,0,2,0,3,7,0,0,3,3,818,3,3,2,168,228,318000
52,8741,0,6,1945,1950,0,2,85,2,1,2,94,641,735,2,1,798,689,1487,0,1,1,2,7,1,4,1,1,220,3,3,2,0,140,113000
75,9000,0,8,2008,2008,36,3,95,3,3,6,1078,488,1566,4,1,1566,0,1566,1,2,0,3,7,0,0,2,2,750,3,3,2,144,168,262500
40,3880,0,5,1945,1997,0,2,85,3,1,5,329,357,686,3,1,866,0,866,0,1,0,3,4,0,0,0,0,0,0,0,2,58,42,110500
63,5000,0,5,1900,1950,0,2,85,3,1,1,0,540,540,3,0,889,551,1440,0,1,0,2,6,0,0,1,1,352,2,3,2,0,0,79000
75,10762,0,6,1980,1980,0,2,95,3,1,1,0,626,626,2,1,626,591,1217,0,1,1,2,6,1,3,2,1,288,3,3,2,0,28,120000
0,8880,1,7,1994,2002,0,3,95,3,1,6,695,253,948,4,1,1222,888,2110,1,2,1,3,8,2,2,2,2,463,3,3,2,0,130,205000
80,10400,0,7,1988,1988,102,2,95,3,3,6,929,916,1845,3,1,1872,0,1872,0,2,0,2,6,1,3,3,2,604,3,3,2,197,39,241500
69,9142,0,6,1910,1950,0,2,75,3,1,1,0,1020,1020,3,0,908,1020,1928,0,2,0,1,9,0,0,1,1,440,1,1,2,0,60,137000
75,11310,0,6,1954,1954,0,2,85,3,1,1,0,1367,1367,4,1,1375,0,1375,0,1,0,2,5,1,3,1,2,451,3,3,2,0,30,140000
72,11317,0,7,2003,2003,101,3,95,3,1,1,0,840,840,4,1,840,828,1668,0,2,1,3,8,0,0,2,2,500,3,3,2,144,68,180000
0,159000,2,6,1958,2006,472,3,95,3,4,3,697,747,1444,3,1,1444,700,2144,0,2,0,3,7,2,3,3,2,389,3,3,2,0,98,277000
55,5350,1,3,1940,1966,0,2,85,3,1,1,0,728,728,4,1,1306,0,1306,0,1,0,1,6,0,0,0,0,0,0,0,2,263,0,76500
44,4750,1,8,2006,2007,481,3,95,3,4,6,1573,0,1573,4,1,1625,0,1625,1,2,0,3,5,1,4,3,2,538,3,3,2,123,0,235000
65,8366,1,6,2004,2004,0,3,95,3,1,1,0,798,798,4,1,798,842,1640,0,2,1,3,6,0,0,2,2,520,3,3,2,138,45,173000
85,9350,0,6,1964,1991,108,2,95,3,4,2,270,452,1302,4,1,1302,0,1302,0,2,0,3,7,0,0,2,1,309,3,3,2,333,0,158000
70,8400,0,5,1957,1957,0,2,85,3,1,3,922,392,1314,2,1,1314,0,1314,1,1,0,2,5,0,0,2,1,294,3,3,2,250,0,145000
66,8738,1,7,1999,1999,302,3,95,3,1,1,0,975,975,4,1,1005,1286,2291,0,2,1,3,8,1,3,3,2,429,3,3,2,192,0,230000
64,8791,1,6,2003,2003,0,3,95,3,1,3,503,361,864,4,1,864,864,1728,0,2,1,3,7,0,0,2,2,673,3,3,2,216,56,207500
68,8814,0,7,2006,2006,180,3,95,3,1,6,1334,270,1604,4,1,1604,0,1604,1,2,1,3,8,1,4,2,2,660,3,3,2,123,110,220000
80,12435,0,7,2001,2001,172,3,95,3,1,6,361,602,963,4,1,963,829,1792,0,2,1,3,7,1,3,2,2,564,3,3,2,0,96,231500
70,12702,0,5,1956,1956,0,2,0,0,0,0,0,0,0,3,1,882,0,882,0,1,0,2,4,0,0,1,1,308,3,3,2,0,45,97000
120,19296,0,6,1962,1962,399,2,85,3,4,3,672,0,1362,2,1,1382,0,1382,1,1,0,2,6,1,3,1,2,884,3,3,2,0,0,176000
69,9588,1,8,2007,2007,270,3,105,3,1,1,0,1482,1482,4,1,1482,1092,2574,0,2,1,4,10,1,4,3,3,868,3,3,2,0,148,276000
88,8471,1,6,1977,1995,46,2,95,4,3,5,506,0,506,2,1,1212,0,1212,1,1,0,2,6,1,3,1,2,492,3,3,2,292,12,151000
50,5500,0,5,1929,2001,0,2,85,3,1,2,234,0,926,2,1,926,0,1316,1,1,0,2,6,0,0,1,2,484,3,3,2,0,0,130000
30,5232,3,5,1925,2004,0,2,75,3,1,1,0,680,680,3,0,764,0,764,0,1,0,2,4,0,0,1,2,504,3,3,0,0,0,73000
78,12090,1,6,1981,1981,210,2,95,3,1,6,588,606,1422,2,1,1422,0,1422,0,2,0,3,7,1,3,3,2,576,3,3,2,276,0,175500
70,11207,1,6,1997,1997,0,2,95,3,3,6,714,88,802,3,1,802,709,1511,1,2,1,2,8,1,3,3,2,413,3,3,2,95,75,185000
60,8400,0,5,1939,1997,0,2,85,3,1,2,378,342,720,4,1,1052,720,2192,0,2,1,3,8,1,4,1,1,240,3,3,2,262,24,179500
71,6900,0,5,1940,1955,0,2,85,3,1,5,403,212,740,4,1,778,0,778,0,1,0,2,4,1,4,3,1,924,5,5,2,0,25,120500
0,7917,1,6,1976,1976,174,2,85,4,1,4,751,392,1143,2,1,1113,0,1113,1,1,1,2,6,1,2,2,1,504,3,4,2,370,30,148000
84,10728,0,8,2006,2006,0,3,95,3,2,1,0,1095,1095,3,1,1095,844,1939,0,2,1,3,8,1,4,2,3,1053,3,3,2,192,51,266000
73,39104,1,7,1954,2005,0,2,95,3,4,2,226,96,1385,4,1,1363,0,1363,1,1,0,2,5,2,3,1,2,439,3,3,2,81,0,241500
92,11764,1,8,1999,2007,348,3,95,3,1,6,524,628,1152,4,1,1164,1106,2270,0,2,1,3,9,1,4,3,3,671,3,3,2,132,57,290000
80,9600,0,6,1958,1988,183,2,85,3,1,3,620,0,1240,3,1,1632,0,1632,1,2,0,2,6,1,4,2,1,338,3,3,2,289,0,139000
76,8314,0,5,1982,1982,0,2,85,3,4,5,546,270,816,2,1,816,0,816,0,1,0,2,5,0,0,1,1,264,3,3,2,168,0,124500
55,7264,0,7,1925,2007,0,3,85,3,1,1,0,952,952,3,0,952,596,1548,0,2,1,4,5,0,0,1,2,672,3,3,2,74,0,205000
129,9196,1,7,2003,2003,0,3,105,3,1,1,0,1560,1560,4,1,1560,0,1560,0,2,0,3,7,0,0,3,2,573,3,3,2,100,150,201000
140,19138,0,4,1951,1951,0,2,85,3,1,2,120,744,864,4,1,864,0,864,0,1,0,2,4,0,0,1,2,400,3,3,2,0,0,141000
107,14450,0,9,2006,2007,315,4,105,3,4,1,0,2121,2121,4,1,2121,0,2121,0,2,1,4,8,1,5,3,3,732,3,3,2,124,98,415298
83,10005,0,7,1977,1977,299,2,95,3,1,4,392,768,1160,4,1,1156,866,2022,0,2,1,2,8,1,3,3,2,505,3,3,2,288,117,192000
82,11287,0,7,1989,1989,340,3,95,3,3,6,421,386,807,3,1,1175,807,1982,0,2,1,3,7,1,3,3,2,575,3,3,2,0,84,228500
60,7200,0,6,2006,2006,68,3,95,3,1,6,905,357,1262,3,1,1262,0,1262,0,2,0,3,5,0,0,3,2,572,3,3,2,0,120,185000
34,5063,0,7,2007,2008,166,3,95,3,1,6,904,410,1314,4,1,1314,0,1314,1,2,0,3,6,1,4,2,2,626,3,3,2,172,62,207500
74,9612,0,8,2008,2009,72,3,95,3,1,1,0,1468,1468,4,1,1468,0,1468,0,2,0,3,6,1,4,3,3,898,3,3,2,210,150,244600
50,8012,0,6,1992,1992,0,3,95,3,1,6,430,1145,1575,3,1,1575,0,1575,1,2,0,3,5,0,0,2,2,529,3,3,2,0,0,179200
35,4251,1,7,2006,2007,0,3,95,3,1,1,0,625,625,4,1,625,625,1250,0,2,1,3,5,0,0,2,2,528,3,3,2,0,54,164700
77,9786,1,6,1962,1981,0,2,85,3,1,3,600,312,912,2,1,1085,649,1734,0,1,1,3,7,1,4,2,2,440,3,3,2,0,0,159000
0,8125,1,4,1971,1971,0,2,85,3,1,4,614,244,858,2,1,858,0,858,0,1,0,2,5,0,0,0,0,0,0,0,2,0,0,88000
0,9819,1,5,1967,1967,31,2,85,3,1,4,450,432,882,2,1,900,0,900,0,1,0,2,5,0,0,1,1,280,3,3,2,0,0,122000
60,8730,0,6,1915,2003,0,2,85,3,1,1,0,698,698,4,1,698,698,1396,0,1,0,2,7,0,0,1,1,384,3,3,2,0,0,153575
120,15611,0,8,2006,2006,0,3,95,3,3,1,0,1079,1079,4,1,1079,840,1919,0,2,1,3,8,1,4,2,2,685,4,3,2,0,51,233230
55,5687,0,5,1912,2000,0,2,85,2,1,3,210,570,780,4,0,936,780,1716,1,2,0,1,9,0,0,0,0,0,0,0,0,0,184,135900
60,11409,0,5,1949,2008,0,2,85,3,1,2,292,476,768,3,1,1148,568,1716,0,1,1,2,8,1,4,1,1,281,3,3,2,0,0,131000
0,16659,1,7,1977,1994,34,2,85,3,1,5,795,0,795,1,1,1468,795,2263,1,2,1,3,9,1,3,3,2,539,3,3,2,0,250,235000
80,9600,0,6,1953,1953,238,2,85,3,1,6,1285,131,1416,2,1,1644,0,1644,1,1,0,2,7,2,4,3,2,418,3,3,2,110,0,167000
37,7937,1,6,1984,1984,0,2,85,3,3,6,819,184,1003,2,1,1003,0,1003,1,1,0,2,6,0,0,1,2,588,3,3,2,120,0,142500
75,13710,0,5,1950,1950,0,2,85,3,1,4,420,490,910,2,1,910,648,1558,0,1,1,2,6,0,0,1,1,282,3,3,2,289,0,152000
66,7399,1,7,1997,1998,1600,3,95,3,1,4,649,326,975,4,1,975,975,1950,0,2,1,3,7,1,3,2,2,576,3,3,2,0,10,239000
90,11700,0,6,1968,1968,365,3,85,3,1,5,384,143,702,3,1,1041,702,1743,0,1,2,2,7,1,4,1,2,539,3,3,2,224,0,175000
80,14000,0,6,1950,2004,0,2,85,3,1,1,0,1092,1092,4,1,1152,0,1152,0,1,0,3,6,1,4,1,1,300,3,3,2,0,36,158500
90,15750,0,5,1953,1953,56,2,85,3,2,4,841,324,1165,2,1,1336,0,1336,1,1,0,2,5,2,4,1,1,375,3,3,2,0,0,157000
66,16226,3,8,1998,1999,0,3,95,3,1,6,281,747,1028,4,1,1210,1242,2452,0,2,1,3,9,1,3,3,2,683,3,3,2,208,50,267000
118,13704,1,7,2001,2002,150,3,95,3,1,1,0,1541,1541,4,1,1541,0,1541,0,2,0,3,6,1,3,2,3,843,3,3,2,468,81,205000
70,9800,0,5,1972,1972,0,2,85,3,1,5,894,0,894,2,1,894,0,894,1,1,0,2,5,0,0,1,2,552,3,3,2,256,0,149900
87,18386,0,7,1880,2002,0,2,85,3,1,1,0,1470,1470,4,1,1675,1818,3493,0,3,0,3,10,1,5,1,3,870,3,3,2,302,0,295000
80,10386,0,8,2004,2005,246,3,95,3,1,6,1464,536,2000,4,1,2000,0,2000,1,2,0,3,8,0,0,3,3,888,3,3,2,168,0,305900
116,13474,0,7,1990,1991,246,3,95,3,1,5,700,0,700,3,1,1122,1121,2243,1,2,1,3,8,1,3,2,3,746,3,3,2,127,44,225000
0,7920,1,6,1920,1950,0,2,85,3,1,1,0,319,319,2,1,1035,371,1406,0,1,0,1,6,0,0,0,0,0,0,0,0,0,144,89500
0,12342,1,4,1940,1950,0,2,85,3,1,4,262,599,861,4,1,861,0,861,0,1,0,2,4,0,0,1,2,539,3,3,2,158,0,82500
90,12378,1,9,2003,2004,0,3,105,3,4,6,1274,622,1896,4,1,1944,0,1944,1,2,0,4,8,3,5,3,3,708,3,3,2,208,175,360000
0,7685,1,6,1993,1994,112,2,95,3,1,5,518,179,697,3,1,697,804,1501,0,2,1,3,6,1,3,3,2,420,3,3,2,190,63,165600
50,8000,0,6,1948,2002,0,2,85,3,1,5,680,292,972,4,1,972,0,972,1,1,0,2,5,1,4,1,1,240,3,3,2,0,0,132000
65,7800,0,5,1939,1950,0,2,95,3,2,3,507,286,793,2,1,793,325,1118,1,1,0,2,5,1,4,1,2,410,3,3,2,0,0,119900
150,215245,3,7,1965,1965,0,2,95,3,4,5,1236,80,2136,2,1,2036,0,2036,2,2,0,2,8,2,4,2,2,513,3,3,2,0,0,375000
60,9600,0,7,1925,1990,0,2,85,4,1,2,16,712,728,4,1,832,809,1641,0,1,1,4,6,1,4,1,2,546,2,3,2,0,0,178000
71,7795,1,7,2004,2005,0,3,95,3,1,6,425,291,716,4,1,716,716,1432,1,2,1,3,6,1,4,3,2,432,3,3,2,100,51,188500
94,13005,1,7,1980,1980,278,3,95,3,1,6,692,153,845,2,1,1153,1200,2353,1,2,1,4,10,1,3,2,2,484,3,3,2,288,195,260000
75,9000,0,8,2006,2006,0,3,95,3,3,1,0,1088,1088,4,1,1088,871,1959,0,2,1,3,8,1,4,2,3,1025,3,3,2,208,46,270000
90,9900,0,7,1993,1993,256,3,95,3,4,6,987,360,1347,4,1,1372,1274,2646,1,2,1,3,9,1,3,2,3,656,3,3,2,340,60,260000
0,14115,0,7,1980,1980,225,2,95,3,3,6,1036,336,1372,2,1,1472,0,1472,1,2,0,2,6,2,3,1,2,588,3,3,2,233,48,187500
111,16259,0,9,2006,2006,370,2,105,4,3,1,0,1249,1249,4,1,1249,1347,2596,0,3,1,3,9,0,0,2,3,840,3,3,2,240,154,342643
99,12099,1,8,2004,2004,388,3,105,3,3,6,970,166,1136,4,1,1136,1332,2468,1,2,1,3,10,1,4,3,3,872,3,3,2,184,154,354000
86,10380,1,7,1986,1987,172,3,85,3,4,2,28,0,1502,4,1,1553,1177,2730,1,2,1,3,8,1,3,3,2,576,3,3,2,201,96,301000
49,5820,0,3,1955,2005,0,2,85,3,1,5,256,906,1162,4,1,1163,0,1163,1,1,0,2,6,0,0,1,1,220,2,3,2,142,98,126175
96,11275,0,7,1967,2007,300,3,95,3,1,1,0,710,710,4,1,1898,1080,2978,0,2,1,3,11,1,4,3,2,564,3,3,2,240,0,242000
50,5000,0,5,1941,1950,0,2,85,3,3,4,116,604,720,0,0,803,0,803,0,1,0,2,5,0,0,1,2,360,3,3,2,0,0,87000
32,10846,1,8,1993,1993,0,3,95,3,4,6,1619,100,1719,4,1,1719,0,1719,2,1,1,3,6,2,4,3,2,473,3,3,2,122,30,324000
80,11600,0,6,1960,1960,175,2,85,3,1,3,565,818,1383,2,1,1383,0,1383,0,1,1,2,7,0,0,2,1,292,3,3,2,0,45,145250
0,11888,1,6,1916,1994,0,2,85,3,1,1,0,844,844,3,0,1445,689,2134,0,2,0,3,10,0,0,1,2,441,3,3,2,0,60,214500
60,6402,0,5,1920,1950,0,2,85,3,2,1,0,596,596,2,0,596,596,1192,0,1,0,2,6,0,0,1,1,189,2,2,0,0,0,78000
0,10624,1,5,1964,1964,84,2,85,3,1,6,40,1424,1728,2,1,1728,0,1728,0,2,0,2,10,0,0,1,1,352,3,3,2,155,0,119000
70,8176,0,5,1958,1992,0,2,85,3,1,3,846,210,1056,1,1,1056,0,1056,1,1,0,2,6,0,0,2,1,308,3,3,2,0,0,139000
85,10655,1,8,2003,2004,296,3,95,3,1,6,1124,1603,3206,4,1,1629,0,1629,1,2,0,3,7,1,4,2,3,880,3,3,2,0,0,284000
59,8198,0,7,2004,2004,146,3,95,3,3,6,720,638,1358,4,1,1358,0,1358,1,2,0,3,6,1,4,2,2,484,3,3,2,192,30,207000
59,9042,1,6,1998,1998,0,2,95,3,4,6,828,115,943,3,1,943,695,1638,1,2,1,2,7,2,3,3,2,472,3,3,2,100,38,192000
0,164660,1,5,1965,1965,0,2,85,3,4,5,1249,103,1499,4,1,1619,167,1786,2,2,0,2,7,2,4,3,2,529,3,3,2,670,0,228950
86,14157,1,9,2005,2006,200,3,105,3,4,6,1249,673,1922,4,1,1922,0,1922,1,2,0,3,8,1,4,3,3,676,3,3,2,178,51,377426
70,9135,0,7,2002,2003,113,3,95,3,3,6,810,726,1536,4,1,1536,0,1536,1,2,0,3,7,0,0,2,2,532,3,3,2,192,74,214000
91,14145,0,7,1984,1998,0,3,95,3,2,5,213,995,1208,4,1,1621,0,1621,1,2,0,3,8,0,0,2,2,440,3,3,2,108,45,202500
66,12400,1,6,1958,1998,176,2,85,2,1,3,585,630,1215,2,1,1215,0,1215,0,1,0,2,6,0,0,1,1,297,3,3,2,0,0,155000
85,14191,0,8,2002,2002,0,3,95,3,1,1,0,967,967,4,1,993,915,1908,0,2,1,3,9,0,0,3,2,431,3,3,2,135,0,202900
60,8400,0,4,1950,1950,0,1,85,2,1,1,0,721,721,3,1,841,0,841,0,1,0,2,4,0,0,1,1,294,3,3,0,250,0,82000
0,8544,0,3,1949,1950,340,2,0,0,0,0,0,0,0,1,0,1040,0,1040,0,2,0,2,6,0,0,1,2,400,3,3,2,0,0,87500
63,8849,1,9,2005,2005,616,4,105,3,1,6,28,1656,1684,4,1,1684,0,1684,0,2,0,4,6,1,5,2,2,564,3,3,2,495,72,266000
36,2592,0,5,1976,1976,0,2,95,3,1,3,129,175,536,2,1,536,576,1112,0,1,1,2,4,0,0,1,1,336,3,3,2,182,0,85000
65,6435,0,6,1939,1950,0,2,85,3,1,1,0,972,972,3,1,972,605,1577,0,1,0,1,6,1,4,1,1,312,3,3,2,0,0,140200
